# Tomato Dual-LUT — full 8-bit f-LUT map (g=0, cin=0 Boolean slice).
# Index: idx = 4*C + 2*B + A  (A = LSB of index / opcode bit0). Same as docs/isa/lut.csv and alu-32b.
# Every row is one native ALU cycle. nested_form is optional human/compiler sugar, not required by hardware.
# one_nest=yes means expressible as a single nest of {and,or,xor,nand,nor,xnor,andn,orn} plus not/wires.
# Companion curated subset: lut.csv. Fuse-oriented nest table: lut-nested-fuse.csv.
lut_hex,lut,truth_abc,one_nest,nested_form,alt_forms,name,expression
0x56,86,01101010,yes,"xor(A, or(B, C))","xnor(A, nor(B, C)); xor(A, or(C, B)); xnor(A, nor(C, B))",A_XOR_OR_BC,A^(B|C)
0x57,87,11101010,yes,"nand(A, or(B, C))","nand(A, or(C, B)); orn(nor(B, C), A); orn(nor(C, B), A)",,"nand(A, or(B, C))"
0x58,88,00011010,no,,,,
0x59,89,10011010,yes,"xnor(A, andn(B, C))","xor(A, orn(C, B)); xor(orn(C, B), A); xnor(andn(B, C), A)",,"xnor(A, andn(B, C))"
0x5A,90,01011010,yes,"xor(A, C)","xor(C, A)",XOR_AC,A^C
0x5B,91,11011010,no,,,,
0x5C,92,00111010,no,,,,
0x5D,93,10111010,yes,"nand(A, orn(C, B))","orn(andn(B, C), A); nand(orn(C, B), A)",,"nand(A, orn(C, B))"
0x5E,94,01111010,no,,,,
0x5F,95,11111010,yes,"nand(A, C)","nand(C, A)",,"nand(A, C)"
0x60,96,00000110,yes,"and(xor(A, B), C)","and(C, xor(A, B)); andn(C, xnor(A, B)); and(C, xor(B, A))",,"and(xor(A, B), C)"
0x61,97,10000110,no,,,,
0x62,98,01000110,no,,,,
0x63,99,11000110,yes,"xor(orn(A, C), B)","xor(B, orn(A, C)); xnor(B, andn(C, A)); xnor(andn(C, A), B)",,"xor(orn(A, C), B)"
0x64,100,00100110,no,,,,
0x65,101,10100110,yes,"xor(A, orn(B, C))","xnor(A, andn(C, B)); xor(orn(B, C), A); xnor(andn(C, B), A)",,"xor(A, orn(B, C))"
0x66,102,01100110,yes,"xor(A, B)","xor(B, A)",XOR_AB,A^B
0x67,103,11100110,no,,,,
0x68,104,00010110,no,,,,
0x69,105,10010110,yes,"xor(A, xnor(B, C))","xnor(A, xor(B, C)); xor(A, xnor(C, B)); xor(C, xnor(A, B))",XNOR3,~(A^B^C)
0x6A,106,01010110,yes,"xor(A, and(B, C))","xnor(A, nand(B, C)); xor(A, and(C, B)); xnor(A, nand(C, B))",A_XOR_AND_BC,A^(B&C)
0x6B,107,11010110,no,,,,
0x6C,108,00110110,yes,"xor(and(C, A), B)","xor(and(A, C), B); xor(B, and(C, A)); xor(B, and(A, C))",,"xor(and(C, A), B)"
0x6D,109,10110110,no,,,,
0x6E,110,01110110,no,,,,
0x6F,111,11110110,yes,"orn(xor(A, B), C)","nand(C, xnor(A, B)); nand(xnor(A, B), C); orn(xor(B, A), C)",,"orn(xor(A, B), C)"
0x70,112,00001110,yes,"and(nand(A, B), C)","and(nand(B, A), C); and(C, nand(A, B)); and(C, nand(B, A))",,"and(nand(A, B), C)"
0x71,113,10001110,no,,,,
0x72,114,01001110,no,,,,
0x73,115,11001110,yes,"orn(andn(C, A), B)","nand(orn(A, C), B); nand(B, orn(A, C))",,"orn(andn(C, A), B)"
0x74,116,00101110,no,,,,
0x75,117,10101110,yes,"nand(A, orn(B, C))","orn(andn(C, B), A); nand(orn(B, C), A)",,"nand(A, orn(B, C))"
0x76,118,01101110,no,,,,
0x77,119,11101110,yes,"nand(A, B)","nand(B, A)",,"nand(A, B)"
0x78,120,00011110,yes,"xor(and(A, B), C)","xor(and(B, A), C); xor(C, and(B, A)); xor(C, and(A, B))",XOR_AND_AB_C,(A&B)^C
0x79,121,10011110,no,,,,
0x7A,122,01011110,no,,,,
0x7B,123,11011110,yes,"orn(xor(C, A), B)","orn(xor(A, C), B); nand(B, xnor(C, A)); nand(B, xnor(A, C))",,"orn(xor(C, A), B)"
0x7C,124,00111110,no,,,,
0x7D,125,10111110,yes,"nand(A, xnor(B, C))","nand(A, xnor(C, B)); orn(xor(C, B), A); orn(xor(B, C), A)",,"nand(A, xnor(B, C))"
0x7E,126,01111110,no,,,,
0x7F,127,11111110,yes,"nand(A, and(B, C))","nand(A, and(C, B)); orn(nand(A, B), C); nand(and(A, B), C)",,"nand(A, and(B, C))"
0x80,128,00000001,yes,"and(A, and(B, C))","andn(A, nand(B, C)); and(A, and(C, B)); andn(A, nand(C, B))",AND3,A&B&C
0x81,129,10000001,no,,,,
0x82,130,01000001,yes,"and(A, xnor(B, C))","andn(A, xor(B, C)); and(A, xnor(C, B)); andn(A, xor(C, B))",,"and(A, xnor(B, C))"
0x83,131,11000001,no,,,,
0x84,132,00100001,yes,"and(B, xnor(A, C))","and(B, xnor(C, A)); and(xnor(A, C), B); and(xnor(C, A), B)",,"and(B, xnor(A, C))"
0x85,133,10100001,no,,,,
0x86,134,01100001,no,,,,
0x87,135,11100001,yes,"xor(nand(A, B), C)","xor(C, nand(A, B)); xor(nand(B, A), C); xnor(and(A, B), C)",,"xor(nand(A, B), C)"
0x88,136,00010001,yes,"and(A, B)","and(B, A)",AND_AB,A&B
0x89,137,10010001,no,,,,
0x8A,138,01010001,yes,"and(A, orn(B, C))","andn(A, andn(C, B)); and(orn(B, C), A)",,"and(A, orn(B, C))"
0x8B,139,11010001,no,,,,
0x8C,140,00110001,yes,"and(orn(A, C), B)","and(B, orn(A, C)); andn(B, andn(C, A))",,"and(orn(A, C), B)"
0x8D,141,10110001,no,,,,
0x8E,142,01110001,no,,,,
0x8F,143,11110001,yes,"orn(and(A, B), C)","nand(nand(A, B), C); orn(and(B, A), C); nand(C, nand(B, A))",,"orn(and(A, B), C)"
0x90,144,00001001,yes,"and(xnor(A, B), C)","and(C, xnor(A, B)); andn(C, xor(A, B)); and(C, xnor(B, A))",,"and(xnor(A, B), C)"
0x91,145,10001001,no,,,,
0x92,146,01001001,no,,,,
0x93,147,11001001,yes,"xor(B, nand(A, C))","xor(nand(C, A), B); xor(nand(A, C), B); xor(B, nand(C, A))",,"xor(B, nand(A, C))"
0x94,148,00101001,no,,,,
0x95,149,10101001,yes,"xor(A, nand(B, C))","xnor(A, and(B, C)); xor(A, nand(C, B)); xnor(A, and(C, B))",,"xor(A, nand(B, C))"
0x96,150,01101001,yes,"xor(A, xor(B, C))","xnor(A, xnor(B, C)); xor(A, xor(C, B)); xor(xor(A, B), C)",XOR3,A^B^C
0x97,151,11101001,no,,,,
0x98,152,00011001,no,,,,
0x99,153,10011001,yes,"xnor(A, B)","xnor(B, A)",,"xnor(A, B)"
0x9A,154,01011001,yes,"xnor(A, orn(B, C))","xor(A, andn(C, B)); xor(andn(C, B), A); xnor(orn(B, C), A)",,"xnor(A, orn(B, C))"
0x9B,155,11011001,no,,,,
0x9C,156,00111001,yes,"xor(B, andn(C, A))","xor(andn(C, A), B); xnor(B, orn(A, C)); xnor(orn(A, C), B)",,"xor(B, andn(C, A))"
0x9D,157,10111001,no,,,,
0x9E,158,01111001,no,,,,
0x9F,159,11111001,yes,"orn(xnor(A, B), C)","nand(C, xor(A, B)); nand(xor(A, B), C); orn(xnor(B, A), C)",,"orn(xnor(A, B), C)"
0xA0,160,00000101,yes,"and(A, C)","and(C, A)",AND_AC,A&C
0xA1,161,10000101,no,,,,
0xA2,162,01000101,yes,"andn(A, andn(B, C))","and(A, orn(C, B)); and(orn(C, B), A)",,"andn(A, andn(B, C))"
0xA3,163,11000101,no,,,,
0xA4,164,00100101,no,,,,
0xA5,165,10100101,yes,"xnor(A, C)","xnor(C, A)",,"xnor(A, C)"
0xA6,166,01100101,yes,"xor(A, andn(B, C))","xnor(A, orn(C, B)); xor(andn(B, C), A); xnor(orn(C, B), A)",,"xor(A, andn(B, C))"
0xA7,167,11100101,no,,,,
0xA8,168,00010101,yes,"and(A, or(B, C))","andn(A, nor(B, C)); and(A, or(C, B)); andn(A, nor(C, B))",A_AND_OR_BC,A&(B|C)
0xA9,169,10010101,yes,"xor(A, nor(B, C))","xnor(A, or(B, C)); xor(A, nor(C, B)); xnor(A, or(C, B))",,"xor(A, nor(B, C))"
0xAA,170,01010101,yes,A,,PASS_A,A
0xAB,171,11010101,yes,"or(A, nor(B, C))","orn(A, or(B, C)); or(A, nor(C, B)); orn(A, or(C, B))",,"or(A, nor(B, C))"
0xAC,172,00110101,no,,,,
0xAD,173,10110101,no,,,,
0xAE,174,01110101,yes,"or(A, andn(B, C))","orn(A, orn(C, B)); or(andn(B, C), A)",,"or(A, andn(B, C))"
0xAF,175,11110101,yes,"orn(A, C)",,,"orn(A, C)"
0xB0,176,00001101,yes,"and(orn(A, B), C)","and(C, orn(A, B)); andn(C, andn(B, A))",,"and(orn(A, B), C)"
0xB1,177,10001101,no,,,,
0xB2,178,01001101,no,,,,
0xB3,179,11001101,yes,"orn(and(C, A), B)","orn(and(A, C), B); nand(B, nand(A, C)); nand(B, nand(C, A))",,"orn(and(C, A), B)"
0xB4,180,00101101,yes,"xor(andn(B, A), C)","xor(C, andn(B, A)); xnor(C, orn(A, B)); xnor(orn(A, B), C)",,"xor(andn(B, A), C)"
0xB5,181,10101101,no,,,,
0xB6,182,01101101,no,,,,
0xB7,183,11101101,yes,"orn(xnor(A, C), B)","orn(xnor(C, A), B); nand(B, xor(C, A)); nand(xor(C, A), B)",,"orn(xnor(A, C), B)"
0xB8,184,00011101,no,,,,
0xB9,185,10011101,no,,,,
0xBA,186,01011101,yes,"orn(A, orn(B, C))","or(A, andn(C, B)); or(andn(C, B), A)",,"orn(A, orn(B, C))"
0xBB,187,11011101,yes,"orn(A, B)",,,"orn(A, B)"
0xBC,188,00111101,no,,,,
0xBD,189,10111101,no,,,,
0xBE,190,01111101,yes,"or(A, xor(B, C))","orn(A, xnor(B, C)); or(A, xor(C, B)); orn(A, xnor(C, B))",A_OR_XOR_BC,A|(B^C)
0xBF,191,11111101,yes,"or(A, nand(B, C))","orn(A, and(B, C)); or(A, nand(C, B)); orn(A, and(C, B))",,"or(A, nand(B, C))"
0xC0,192,00000011,yes,"and(B, C)","and(C, B)",AND_BC,B&C
0xC1,193,10000011,no,,,,
0xC2,194,01000011,no,,,,
0xC3,195,11000011,yes,"xnor(B, C)","xnor(C, B)",,"xnor(B, C)"
0xC4,196,00100011,yes,"and(orn(C, A), B)","and(B, orn(C, A)); andn(B, andn(A, C))",,"and(orn(C, A), B)"
0xC5,197,10100011,no,,,,
0xC6,198,01100011,yes,"xor(B, andn(A, C))","xor(andn(A, C), B); xnor(B, orn(C, A)); xnor(orn(C, A), B)",,"xor(B, andn(A, C))"
0xC7,199,11100011,no,,,,
0xC8,200,00010011,yes,"and(B, or(A, C))","and(B, or(C, A)); and(or(A, C), B); and(or(C, A), B)",,"and(B, or(A, C))"
0xC9,201,10010011,yes,"xor(B, nor(A, C))","xor(B, nor(C, A)); xor(nor(C, A), B); xor(nor(A, C), B)",,"xor(B, nor(A, C))"
0xCA,202,01010011,no,,,,
0xCB,203,11010011,no,,,,
0xCC,204,00110011,yes,B,,PASS_B,B
0xCD,205,10110011,yes,"or(B, nor(C, A))","or(nor(A, C), B); or(nor(C, A), B); or(B, nor(A, C))",,"or(B, nor(C, A))"
0xCE,206,01110011,yes,"or(andn(A, C), B)","or(B, andn(A, C)); orn(B, orn(C, A))",,"or(andn(A, C), B)"
0xCF,207,11110011,yes,"orn(B, C)",,,"orn(B, C)"
0xD0,208,00001011,yes,"and(orn(B, A), C)","and(C, orn(B, A)); andn(C, andn(A, B))",,"and(orn(B, A), C)"
0xD1,209,10001011,no,,,,
0xD2,210,01001011,yes,"xor(C, andn(A, B))","xor(andn(A, B), C); xnor(C, orn(B, A)); xnor(orn(B, A), C)",,"xor(C, andn(A, B))"
0xD3,211,11001011,no,,,,
0xD4,212,00101011,no,,,,
0xD5,213,10101011,yes,"nand(A, nand(B, C))","nand(A, nand(C, B)); orn(and(C, B), A); orn(and(B, C), A)",,"nand(A, nand(B, C))"
0xD6,214,01101011,no,,,,
0xD7,215,11101011,yes,"nand(A, xor(B, C))","nand(A, xor(C, B)); orn(xnor(C, B), A); orn(xnor(B, C), A)",,"nand(A, xor(B, C))"
0xD8,216,00011011,no,,,,
0xD9,217,10011011,no,,,,
0xDA,218,01011011,no,,,,
0xDB,219,11011011,no,,,,
0xDC,220,00111011,yes,"or(andn(C, A), B)","or(B, andn(C, A)); orn(B, orn(A, C))",,"or(andn(C, A), B)"
0xDD,221,10111011,yes,"orn(B, A)",,,"orn(B, A)"
0xDE,222,01111011,yes,"or(B, xor(C, A))","or(xor(A, C), B); or(B, xor(A, C)); or(xor(C, A), B)",,"or(B, xor(C, A))"
0xDF,223,11111011,yes,"nand(A, andn(C, B))","or(B, nand(A, C)); or(nand(A, C), B); or(nand(C, A), B)",,"nand(A, andn(C, B))"
0xE0,224,00000111,yes,"and(C, or(A, B))","and(or(A, B), C); andn(C, nor(A, B)); and(or(B, A), C)",,"and(C, or(A, B))"
0xE1,225,10000111,yes,"xor(nor(A, B), C)","xor(C, nor(A, B)); xor(nor(B, A), C); xor(C, nor(B, A))",,"xor(nor(A, B), C)"
0xE2,226,01000111,no,,,,
0xE3,227,11000111,no,,,,
0xE4,228,00100111,no,,,,
0xE5,229,10100111,no,,,,
0xE6,230,01100111,no,,,,
0xE7,231,11100111,no,,,,
0xE8,232,00010111,no,,,,
0xE9,233,10010111,no,,,,
0xEA,234,01010111,yes,"or(A, and(B, C))","orn(A, nand(B, C)); or(A, and(C, B)); orn(A, nand(C, B))",A_OR_AND_BC,A|(B&C)
0xEB,235,11010111,yes,"or(A, xnor(B, C))","orn(A, xor(B, C)); or(A, xnor(C, B)); orn(A, xor(C, B))",,"or(A, xnor(B, C))"
0xEC,236,00110111,yes,"or(and(A, C), B)","or(B, and(A, C)); or(B, and(C, A)); or(and(C, A), B)",,"or(and(A, C), B)"
0xED,237,10110111,yes,"or(B, xnor(A, C))","or(B, xnor(C, A)); or(xnor(A, C), B); or(xnor(C, A), B)",,"or(B, xnor(A, C))"
0xEE,238,01110111,yes,"or(A, B)","or(B, A)",OR_AB,A|B
0xEF,239,11110111,yes,"or(A, orn(B, C))","orn(A, andn(C, B)); orn(or(A, B), C); or(orn(B, C), A)",,"or(A, orn(B, C))"
0xF0,240,00001111,yes,C,,PASS_C,C
0xF1,241,10001111,yes,"or(nor(A, B), C)","or(C, nor(A, B)); orn(C, or(A, B)); or(C, nor(B, A))",,"or(nor(A, B), C)"
0xF2,242,01001111,yes,"or(andn(A, B), C)","or(C, andn(A, B)); orn(C, orn(B, A))",,"or(andn(A, B), C)"
0xF3,243,11001111,yes,"orn(C, B)",,,"orn(C, B)"
0xF4,244,00101111,yes,"or(andn(B, A), C)","or(C, andn(B, A)); orn(C, orn(A, B))",,"or(andn(B, A), C)"
0xF5,245,10101111,yes,"orn(C, A)",,,"orn(C, A)"
0xF6,246,01101111,yes,"or(xor(A, B), C)","or(C, xor(A, B)); orn(C, xnor(A, B)); or(C, xor(B, A))",,"or(xor(A, B), C)"
0xF7,247,11101111,yes,"nand(A, andn(B, C))","or(nand(A, B), C); or(nand(B, A), C); or(C, nand(A, B))",,"nand(A, andn(B, C))"
0xF8,248,00011111,yes,"or(and(A, B), C)","or(and(B, A), C); or(C, and(B, A)); or(C, and(A, B))",,"or(and(A, B), C)"
0xF9,249,10011111,yes,"or(xnor(A, B), C)","or(C, xnor(A, B)); orn(C, xor(A, B)); or(C, xnor(B, A))",,"or(xnor(A, B), C)"
0xFA,250,01011111,yes,"or(A, C)","or(C, A)",OR_AC,A|C
0xFB,251,11011111,yes,"orn(A, andn(B, C))","or(A, orn(C, B)); or(orn(A, B), C); or(C, orn(A, B))",,"orn(A, andn(B, C))"
0xFC,252,00111111,yes,"or(B, C)","or(C, B)",OR_BC,B|C
0xFD,253,10111111,yes,"nand(A, nor(B, C))","nand(A, nor(C, B)); or(orn(C, A), B); or(C, orn(B, A))",,"nand(A, nor(B, C))"
0xFE,254,01111111,yes,"or(A, or(B, C))","orn(A, nor(B, C)); or(A, or(C, B)); orn(A, nor(C, B))",OR3,A|B|C
0xFF,255,11111111,yes,1,,,1
